userId,screen_time_hrs_per_day,gaming_time,social_media_time,data_usage_gb_per_day,addicted
82,4.67,0.09,0.3,1.34,0
83,7.72,0.44,0.42,1.19,0
84,4.64,0.49,0.06,0.78,0
85,7.04,4.23,2.54,1.77,1
86,5.31,5.05,0.06,1.08,1
87,6.45,0.21,0.27,1.07,1
88,10.55,4.0,3.34,1.84,1
89,7.74,0.25,0.1,1.33,1
90,5.78,2.59,0.99,1.36,0
91,1.75,0.94,0.08,0.15,0
92,2.17,0.56,1.21,0.57,0
93,3.36,0.42,2.71,1.34,1
94,5.85,0.06,4.68,0.86,1
95,2.57,0.39,2.1,1.03,0
96,1.1,0.28,0.02,0.1,0
97,6.01,0.26,4.36,1.02,1
98,5.37,0.03,0.66,0.27,0
99,7.42,2.95,1.64,0.76,1
100,6.48,2.4,2.6,1.89,1
101,10.12,5.29,3.58,2.32,1
102,8.98,1.65,0.26,1.8,0
103,8.12,1.79,1.4,0.61,1
104,6.4,3.03,1.99,0.19,1
105,2.59,0.02,1.17,0.47,0
106,8.25,1.83,0.15,0.76,1
107,6.73,0.8,0.42,0.73,1
108,10.11,1.41,0.33,1.49,0
109,4.94,0.79,0.08,0.52,0
110,3.13,0.57,0.57,0.49,0
111,4.6,0.32,3.7,0.88,0
112,7.7,4.7,1.06,1.01,1
113,5.45,2.13,1.24,0.1,0
114,7.7,3.36,3.53,0.86,1
115,5.74,2.32,0.74,0.58,0
116,5.63,1.43,0.38,0.93,0
117,9.37,3.71,3.68,1.86,0
118,10.75,4.55,3.46,2.12,1
119,4.25,1.18,1.57,0.18,0
120,6.06,1.29,0.15,1.06,1
121,4.7,0.63,0.25,0.61,0
122,1.0,0.87,0.11,0.52,0
123,4.85,0.28,0.55,1.13,0
124,10.09,0.65,2.17,2.26,1
125,4.47,1.72,0.55,0.1,0
126,2.95,1.45,0.26,0.86,0
127,4.7,1.37,0.21,0.82,1
128,4.8,0.78,2.49,1.12,0
129,1.06,0.03,0.34,0.1,0
130,6.34,1.07,0.08,1.09,1
131,8.34,0.24,0.93,1.45,1
132,5.36,1.46,2.91,0.78,1
133,7.74,0.56,2.48,1.13,1
134,4.65,0.35,1.05,0.1,0
135,6.65,1.16,1.39,1.01,1
136,4.23,1.48,2.5,0.85,0
137,6.68,1.93,2.21,0.94,1
138,5.03,1.18,0.39,1.02,0
139,6.14,0.58,4.1,0.83,1
140,8.57,0.99,0.29,1.21,1
141,7.74,2.46,2.91,1.8,1
142,3.88,1.47,2.05,0.48,0
143,7.31,0.46,0.66,1.17,1
144,5.59,0.33,4.55,0.96,1
145,6.96,4.17,0.75,1.23,1
146,3.32,0.16,2.28,1.35,0
147,4.02,0.64,3.32,0.65,0
148,11.08,4.18,0.24,1.97,1
149,3.98,0.17,1.97,0.1,0
150,8.54,2.99,0.87,1.05,1
151,5.51,1.6,1.15,0.82,0
152,8.16,5.09,0.07,0.59,1
153,5.46,0.0,0.47,0.48,0
154,4.64,2.75,0.73,0.86,0
155,4.85,0.1,0.08,0.61,0
156,8.78,2.32,1.55,0.35,1
157,5.31,0.25,4.33,0.75,1
158,7.67,3.05,0.08,0.72,1
159,7.87,0.16,0.05,1.79,1
160,6.2,0.39,0.72,0.98,1
161,5.52,0.58,3.41,0.78,0
162,9.29,1.34,0.56,1.09,1
163,6.65,0.3,2.5,0.6,1
164,3.52,0.55,0.79,0.3,0
165,3.44,1.07,0.83,1.32,0
166,7.94,3.65,2.7,1.28,0
167,6.62,3.11,1.08,0.41,1
168,3.42,0.91,0.02,0.65,0
169,6.39,0.78,0.97,0.67,1
170,5.06,0.05,0.01,1.07,0
171,6.51,1.31,2.6,1.47,1
172,5.68,1.05,1.13,1.27,1
173,7.04,0.23,0.35,0.87,1
174,2.95,0.3,0.75,0.22,0
175,4.1,0.17,2.55,1.77,0
176,7.22,0.19,0.18,0.58,1
177,8.3,0.81,0.07,1.06,1
178,9.95,3.26,1.07,1.57,1
179,7.26,0.81,1.17,1.58,1
180,3.36,0.23,1.59,0.51,0
181,7.12,0.74,4.19,1.6,1
182,2.95,0.16,2.75,0.52,1
183,6.86,0.54,0.7,1.21,1
184,6.89,0.37,6.32,1.05,1
185,6.06,0.33,1.6,1.02,0
186,3.19,0.35,0.03,0.78,0
187,8.51,0.38,0.18,1.02,1
188,4.7,0.34,2.6,1.22,0
189,6.16,1.16,4.62,1.45,1
190,8.45,1.77,1.63,1.09,1
191,5.11,0.56,1.59,1.45,0
192,5.4,1.09,0.46,0.59,0
193,5.93,0.73,1.55,1.08,0
194,5.67,0.28,4.7,0.62,1
195,3.75,2.86,0.86,0.82,0
196,8.33,3.29,0.98,2.0,1
197,4.75,2.4,1.3,0.59,1
198,5.25,1.21,2.77,0.42,0
199,4.9,0.51,0.59,1.09,0
200,4.32,2.78,1.01,0.81,0
201,6.57,1.93,2.37,1.22,0
202,2.5,0.18,0.47,0.1,0
203,4.96,2.13,2.09,0.93,1
204,8.41,0.94,1.99,1.5,1
205,7.17,1.95,3.77,1.03,1
206,6.81,1.72,3.98,1.41,1
207,8.76,0.17,1.22,1.67,1
208,5.26,3.28,0.63,0.56,0
209,6.06,0.03,0.01,1.52,1
210,6.05,0.57,1.0,1.04,1
211,5.38,1.88,2.21,0.99,1
212,8.42,7.05,0.8,0.79,1
213,5.11,0.45,1.09,0.94,1
214,2.38,1.41,0.07,0.84,0
215,4.88,3.61,0.09,0.98,1
216,5.74,1.4,3.02,0.15,1
217,3.1,0.1,0.41,0.1,0
218,8.24,0.11,2.14,1.86,1
219,7.3,1.11,1.95,1.16,1
220,7.8,1.41,0.38,1.19,0
221,3.5,1.6,1.43,1.2,0
222,6.54,1.16,3.92,0.99,1
223,7.29,0.93,0.03,1.73,1
224,8.5,3.61,0.48,1.57,1
225,4.65,0.47,0.46,1.52,1
226,2.82,1.55,0.7,0.75,0
227,5.1,2.17,0.89,0.1,0
228,6.74,0.14,0.13,1.3,1
229,5.99,1.1,2.6,0.54,0
230,4.25,1.44,0.05,0.75,1
231,4.0,0.7,1.57,0.59,0
232,5.01,0.19,0.33,0.67,0
233,6.12,0.56,3.78,0.76,1
234,4.84,3.62,0.32,1.26,0
235,8.63,1.39,2.51,1.47,1
236,5.26,0.24,0.08,0.97,0
237,5.36,3.47,1.76,1.07,1
238,7.24,1.61,2.0,1.64,1
239,6.08,0.39,0.82,1.06,0
240,8.18,1.53,4.42,1.28,1
241,3.55,3.37,0.14,0.1,0
242,2.88,1.07,1.02,1.33,0
243,5.65,0.64,0.92,1.3,0
244,7.07,1.19,3.28,0.66,1
245,6.99,0.96,0.3,1.25,1
246,6.65,2.46,0.81,0.98,1
247,7.54,1.1,1.61,0.1,1
248,6.75,0.6,1.14,1.08,1
249,5.06,2.68,2.23,1.0,1
250,1.81,0.85,0.65,0.47,0
251,9.0,1.25,0.25,1.79,0
252,7.69,0.57,3.08,1.74,1
253,8.06,1.47,0.19,1.4,1
254,6.1,5.49,0.22,0.74,1
255,7.47,1.16,1.2,1.19,0
256,6.28,2.97,2.48,1.22,1
257,10.18,1.38,0.04,1.57,1
258,4.12,0.08,2.69,0.98,1
259,4.75,3.39,0.73,1.58,1
260,5.94,0.48,3.19,1.79,0
261,8.21,0.6,1.17,1.81,1
262,4.46,0.0,2.93,0.89,1
263,5.87,1.11,4.0,1.11,1
264,7.13,1.94,0.94,1.31,1
265,7.19,3.24,2.5,1.46,1
266,6.24,0.03,0.01,0.62,1
267,9.19,1.97,1.6,1.14,1
268,3.41,0.1,0.15,0.37,0
269,4.62,0.24,1.51,1.69,0
270,5.09,1.08,0.66,0.86,0
271,8.05,1.15,3.74,2.28,1
272,5.49,4.78,0.31,1.08,1
273,4.49,1.62,0.56,0.66,0
274,7.94,2.95,1.33,1.04,1
275,4.02,1.46,0.2,1.08,0
276,4.06,0.62,1.51,0.93,0
277,2.81,1.4,1.31,0.7,0
278,4.84,0.15,2.91,0.85,0
279,6.1,1.1,0.29,1.03,1
280,8.3,4.83,2.64,1.22,1
281,4.56,2.16,1.59,1.14,0
282,6.48,1.21,1.72,0.76,1
283,7.27,1.43,0.15,1.36,0
284,8.45,3.55,1.07,2.02,1
285,5.82,4.97,0.78,2.0,1
286,3.13,0.69,1.56,0.1,0
287,7.14,1.8,0.16,1.82,0
288,3.8,1.26,0.09,0.39,0
289,6.47,1.99,3.7,0.45,1
290,3.65,0.01,2.43,0.15,0
291,9.35,4.09,0.26,1.67,1
292,4.02,1.94,0.21,0.95,0
293,4.53,0.62,2.39,1.27,0
294,4.93,0.01,0.74,0.28,0
295,8.43,1.65,2.74,1.42,0
296,4.95,0.89,3.2,0.99,1
297,4.43,0.02,0.37,0.23,0
298,4.3,0.77,1.15,0.1,0
299,5.99,0.88,5.06,1.33,1
300,5.12,0.59,3.91,1.33,1
301,4.66,0.23,0.15,1.2,0
302,3.93,1.38,2.45,1.21,0
303,5.95,0.85,2.76,1.32,0
304,1.0,0.09,0.06,0.28,1
305,6.11,3.35,2.55,1.23,1
306,1.0,0.04,0.07,0.37,0
307,9.06,1.3,0.08,1.95,1
308,4.62,4.33,0.27,0.77,1
309,4.77,3.09,0.21,0.69,0
310,2.93,0.87,0.96,0.9,0
311,3.27,0.7,0.5,0.5,0
312,7.76,0.05,0.04,1.57,1
313,4.91,2.06,0.57,0.99,1
314,4.01,1.2,1.0,0.69,0
315,5.95,0.6,0.29,0.62,0
316,1.39,0.3,0.25,0.13,0
317,4.66,1.81,1.4,1.21,0
318,5.82,1.26,2.45,1.34,0
319,8.6,0.27,0.3,2.01,1
320,6.18,4.02,0.18,1.72,0
321,5.27,0.38,0.0,0.96,0
322,4.4,0.85,0.45,1.28,0
323,3.91,0.61,0.07,0.9,0
324,4.44,0.08,0.01,1.12,0
325,7.99,3.08,1.91,1.0,1
326,6.56,1.81,3.27,0.71,1
327,4.71,1.84,2.78,1.18,1
328,7.49,4.29,0.63,1.46,1
329,3.91,0.67,1.05,0.1,0
330,5.03,0.11,0.88,0.72,0
331,7.72,1.02,5.63,1.02,1
332,7.68,0.56,2.98,0.93,1
333,7.33,0.59,0.71,1.67,1
334,5.81,0.77,3.45,0.94,1
335,8.48,2.84,3.37,1.38,1
336,2.2,0.39,0.85,0.46,0
337,8.58,0.74,0.63,1.66,0
338,7.66,6.85,0.75,0.88,1
339,4.84,0.72,1.97,1.06,0
340,4.97,1.74,2.16,0.4,1
341,4.43,2.68,1.56,1.02,1
342,5.09,0.02,4.44,0.54,1
343,9.45,3.41,4.96,1.36,1
344,9.36,0.01,0.02,1.2,1
345,4.9,2.95,0.2,1.86,0
346,9.72,1.9,3.97,2.31,1
347,7.56,3.48,0.29,1.01,0
348,8.23,1.23,4.59,1.07,1
349,3.72,0.69,0.53,0.58,1
350,6.96,0.01,5.11,0.6,1
351,3.95,0.54,1.97,1.43,0
352,8.29,1.36,1.82,1.22,1
353,5.02,1.64,0.04,0.41,1
354,4.94,1.8,0.76,1.15,0
355,5.07,0.7,3.72,0.22,1
356,5.62,2.35,0.36,1.5,1
357,5.94,0.7,1.89,1.7,0
358,6.71,0.23,0.68,0.67,1
359,5.8,1.14,0.38,0.89,0
360,4.32,1.8,1.48,0.38,0
361,5.96,0.19,0.01,0.7,0
362,6.2,1.66,0.89,0.58,1
363,6.13,5.44,0.3,1.23,1
364,7.77,5.67,1.95,0.9,1
365,6.59,0.09,2.97,0.55,1
366,4.38,0.51,0.15,0.63,0
367,6.4,2.97,0.38,1.52,1
368,5.41,1.75,2.08,0.97,1
369,3.86,0.03,0.61,0.1,0
370,5.1,0.73,1.37,1.67,0
371,6.04,2.63,2.24,0.71,0
372,4.74,1.03,0.2,1.05,0
373,6.25,0.16,1.12,1.69,1
374,5.28,0.04,2.34,1.1,0
375,7.77,2.1,2.09,1.23,1
376,8.08,0.69,2.38,1.51,1
377,6.23,0.37,1.42,0.46,1
378,8.38,0.28,3.04,1.57,1
379,6.97,3.78,1.75,0.81,1
380,5.47,4.62,0.76,1.11,1
381,4.09,0.69,1.11,0.88,1
382,6.38,0.11,3.11,1.15,1
383,3.88,1.96,1.46,0.85,0
384,6.07,0.9,2.3,0.9,1
385,6.39,0.17,1.03,0.92,1
386,9.62,1.6,1.42,1.68,1
387,1.76,0.15,0.72,0.12,0
388,7.09,5.27,0.59,0.83,1
389,5.22,0.59,1.76,0.51,0
390,2.96,1.32,1.17,1.04,0
391,4.19,1.91,0.92,0.86,0
392,5.2,3.14,1.21,1.09,1
393,6.25,1.5,0.41,1.81,0
394,8.06,0.97,6.59,0.78,1
395,7.27,0.18,1.71,1.63,1
396,4.07,0.98,0.84,0.77,0
397,1.65,1.43,0.18,0.69,0
398,5.56,3.38,1.39,1.1,1
399,7.48,0.0,0.13,1.47,1
400,7.78,0.28,1.91,1.06,1
401,6.73,0.49,0.16,1.84,0
402,2.23,0.93,0.4,0.32,0
403,7.9,5.74,1.31,1.97,0
404,7.47,0.11,0.15,0.96,1
405,6.14,0.07,0.32,1.49,1
406,6.53,0.66,4.76,1.34,1
407,1.0,0.18,0.14,0.52,0
408,7.77,1.36,2.09,1.36,1
409,9.28,1.07,1.13,1.79,1
410,5.49,0.18,3.4,0.1,0
411,6.09,3.59,0.27,1.69,1
412,5.12,0.2,0.03,0.1,0
413,3.19,1.4,0.55,0.55,0
414,5.59,0.03,0.01,0.94,1
415,5.38,1.85,2.47,0.61,1
416,6.75,2.45,0.23,1.04,1
417,5.36,0.34,2.38,0.59,0
418,5.2,1.19,0.86,0.62,0
419,6.53,2.74,1.23,1.28,1
420,6.29,3.83,0.49,0.8,1
421,1.7,0.12,0.09,0.1,0
422,7.02,1.51,3.18,1.09,1
423,5.8,0.32,3.37,0.98,0
424,6.76,0.08,0.73,1.37,0
425,3.71,0.02,0.02,0.7,0
426,11.36,0.44,0.06,1.61,1
427,8.53,0.86,4.7,1.03,1
428,9.68,1.85,0.82,1.25,1
429,8.78,1.03,6.19,1.32,1
430,2.36,0.86,0.51,0.18,0
431,8.07,2.52,0.5,1.76,1
432,4.07,0.04,0.06,0.54,0
433,4.88,1.38,0.62,0.75,0
434,2.74,0.01,0.59,1.02,0
435,4.38,2.07,0.06,0.93,0
436,5.8,0.22,0.01,1.13,0
437,5.48,0.16,1.43,1.56,0
438,5.81,2.05,3.11,1.06,1
439,5.79,1.47,0.76,1.15,0
440,6.37,0.82,2.63,0.58,1
441,2.4,0.5,0.12,0.24,1
442,3.48,1.49,1.87,0.28,0
443,3.85,0.64,1.07,0.77,0
444,6.58,1.42,2.33,1.45,1
445,5.07,1.1,1.31,0.82,0
446,6.53,4.94,0.74,1.79,1
447,6.54,0.22,1.58,0.94,1
448,5.75,2.91,2.73,0.49,1
449,2.45,0.56,0.14,0.97,0
450,6.48,1.35,1.84,0.1,1
451,5.89,1.15,3.72,1.1,1
452,8.33,6.98,0.46,1.27,1
453,7.19,0.33,4.18,0.1,0
454,9.91,2.2,4.96,1.49,1
455,4.06,2.36,0.91,0.16,0
456,4.93,0.02,0.05,1.18,0
457,4.72,0.82,2.74,0.98,0
458,7.17,4.01,0.39,1.36,1
459,5.67,2.16,0.15,0.65,0
460,6.21,5.46,0.43,0.98,1
461,2.21,0.08,0.09,0.52,0
462,5.64,0.24,0.17,0.98,0
463,4.46,0.25,3.33,0.39,0
464,5.44,2.0,0.59,1.17,0
465,6.12,0.77,1.42,1.13,1
466,6.02,1.12,1.59,1.4,1
467,6.42,0.44,1.11,0.87,1
468,6.47,2.89,0.48,1.62,1
469,5.95,1.46,0.23,0.28,0
470,4.75,0.38,0.93,0.82,1
471,7.65,2.17,0.25,0.9,1
472,7.46,0.49,1.85,1.02,1
473,7.7,0.1,2.81,1.2,0
474,5.87,0.84,1.44,1.77,0
475,7.93,1.83,5.83,1.78,1
476,3.89,0.09,0.32,1.11,0
477,5.72,2.73,2.74,0.78,1
478,3.12,0.72,0.43,0.48,1
479,5.09,0.63,3.55,1.44,1
480,5.26,3.63,1.0,1.73,1
481,2.89,0.14,0.25,0.86,0
482,8.15,0.92,2.3,0.78,1
483,5.34,1.85,0.11,1.14,0
484,2.51,2.07,0.03,0.52,0
485,5.54,1.63,1.1,0.53,0
486,5.85,0.1,2.61,0.98,0
487,3.64,0.64,2.18,1.09,0
488,5.52,1.44,0.03,1.0,0
489,6.2,1.36,0.8,1.65,0
490,7.98,1.19,6.58,0.76,0
491,6.35,2.69,2.27,1.15,1
492,5.21,0.9,0.29,0.81,0
493,5.65,0.01,0.32,1.61,0
494,7.07,0.34,0.19,1.18,1
495,5.25,0.72,2.55,0.76,0
496,6.65,2.59,1.64,0.95,1
497,4.38,2.85,1.17,0.25,1
498,6.66,0.35,0.06,1.35,0
499,4.33,0.02,0.56,1.59,0
500,6.01,3.77,0.31,0.35,1
501,5.64,1.75,1.33,1.5,1
502,5.6,1.11,0.06,0.45,0
503,5.14,3.97,0.97,1.11,1
504,6.1,0.89,0.69,1.15,1
505,6.38,5.07,1.19,0.79,1
506,6.05,1.43,4.48,1.24,1
507,9.61,0.86,1.52,1.47,1
508,6.46,2.5,2.48,0.59,0
509,3.5,0.17,0.96,0.87,0
510,5.69,0.09,0.08,0.6,0
511,5.28,0.17,1.93,0.63,0
512,3.31,0.2,2.3,0.1,0
513,2.27,1.34,0.45,0.84,0
514,8.76,1.71,0.4,0.92,1
515,6.03,1.28,0.05,0.62,0
516,6.43,0.09,1.73,0.99,1
517,9.95,1.24,3.9,0.97,1
518,7.56,0.77,6.39,1.12,1
519,5.74,2.27,0.59,1.57,0
520,4.9,3.32,0.87,0.42,0
521,1.0,0.13,0.68,0.33,0
522,8.07,4.48,0.8,1.61,1
523,2.44,1.0,0.04,0.59,0
524,7.38,0.01,0.39,0.18,1
525,3.83,0.88,0.0,0.24,0
526,8.43,4.13,3.02,1.69,1
527,8.39,5.61,1.24,0.97,1
528,8.92,5.44,0.46,0.75,1
529,4.34,1.41,1.98,0.96,0
530,2.82,0.48,1.53,0.84,0
531,9.99,0.25,3.44,2.84,1
532,8.16,0.3,3.47,1.72,1
533,7.33,0.39,1.62,1.37,1
534,3.4,0.48,2.85,0.12,0
535,6.92,3.3,3.25,1.81,1
536,6.91,3.13,1.95,0.92,0
537,2.96,0.38,1.71,0.4,0
538,9.64,6.83,1.49,1.56,1
539,1.69,0.03,0.19,0.79,0
540,3.77,1.08,2.21,0.26,0
541,7.37,0.7,3.51,0.66,1
542,6.14,1.23,0.54,0.77,1
543,2.96,1.29,0.88,0.99,1
544,4.59,0.63,1.36,1.16,0
545,5.69,1.92,3.45,0.73,1
546,3.63,0.38,1.14,0.85,0
547,4.07,0.03,1.73,0.33,1
548,3.34,2.87,0.37,0.63,0
549,7.78,2.15,1.14,1.68,1
550,4.34,1.54,0.56,0.49,0
551,6.41,3.57,0.3,1.09,0
552,5.83,0.22,0.32,1.05,0
553,3.4,0.0,0.05,0.94,0
554,8.38,3.51,1.6,1.76,1
555,8.04,6.8,0.81,1.41,1
556,5.57,0.98,2.29,1.05,0
557,5.54,2.41,0.82,0.91,0
558,5.78,3.94,0.91,1.17,1
559,5.95,0.14,0.41,0.92,0
560,2.79,0.33,0.88,0.34,1
561,9.5,4.59,1.47,2.08,1
562,6.72,0.07,0.02,1.34,1
563,4.17,0.14,0.12,0.39,0
564,9.23,0.04,0.71,1.88,1
565,7.0,2.98,3.55,1.34,1
566,8.83,3.12,3.4,1.7,0
567,7.37,1.99,2.32,1.12,1
568,7.62,1.08,4.0,1.14,1
569,3.32,1.34,1.0,0.88,0
570,7.08,0.08,0.37,1.24,1
571,5.23,0.78,0.79,0.87,1
572,7.59,0.19,0.61,1.23,1
573,3.49,0.47,0.09,0.95,1
574,7.09,1.16,5.09,0.75,1
575,5.34,1.24,0.41,0.66,0
576,1.71,0.1,0.5,0.57,0
577,7.1,4.55,2.21,1.06,1
578,7.42,5.83,0.67,1.22,1
579,6.35,0.17,1.06,2.25,1
580,6.35,2.66,2.09,1.12,1
581,6.95,0.38,0.87,0.77,1
582,6.22,0.92,0.08,1.73,0
583,4.58,0.37,0.11,0.28,0
584,3.16,0.11,0.07,0.81,0
585,8.04,1.91,1.43,2.14,1
586,8.17,0.7,0.7,1.75,1
587,6.66,3.14,0.41,1.47,1
588,5.33,0.23,0.53,0.58,0
589,7.72,0.78,0.8,1.16,1
590,5.91,1.23,2.08,0.68,0
591,6.56,0.98,4.5,1.79,1
592,1.83,0.8,0.65,0.3,0
593,4.4,0.34,1.37,0.73,0
594,5.45,0.09,2.86,1.29,1
595,4.79,0.35,1.45,0.9,0
596,3.84,0.85,0.5,0.4,1
597,4.79,1.19,2.27,0.1,0
598,5.58,0.01,0.02,1.78,0
599,4.53,1.44,2.03,0.81,0
600,7.5,3.34,0.55,1.47,1
601,8.81,1.21,0.29,1.7,1
602,6.71,2.05,3.04,1.19,1
603,6.38,3.4,0.63,1.43,1
604,4.02,0.56,0.25,1.08,0
605,5.26,2.36,2.42,0.33,1
606,6.44,0.44,2.03,0.87,1
607,4.68,2.38,0.86,1.14,0
608,3.16,0.69,0.16,1.02,0
609,6.93,0.62,1.21,0.59,1
610,7.43,1.27,0.12,1.52,1
611,3.98,0.09,0.03,0.1,1
612,5.33,2.85,0.12,1.1,0
613,7.36,4.41,2.13,1.08,1
614,5.06,2.72,0.2,1.12,1
615,7.51,0.02,6.42,1.47,1
616,5.81,0.74,0.02,0.77,0
617,6.67,0.72,1.37,1.67,1
618,8.67,0.06,0.28,1.65,1
619,10.02,3.58,5.08,2.01,1
620,9.54,2.86,0.85,1.33,1
621,6.74,0.01,1.42,0.27,1
622,8.24,2.4,3.49,1.56,0
623,9.91,4.21,2.5,1.38,1
624,6.0,1.26,2.89,0.49,1
625,4.52,1.15,1.72,0.58,0
626,5.2,0.56,2.91,1.61,0
627,9.11,1.51,6.13,1.81,1
628,4.04,1.37,0.25,1.93,0
629,6.77,1.61,2.34,1.03,1
630,4.39,0.32,2.34,0.7,0
631,3.74,0.37,2.86,0.91,0
632,4.21,0.01,3.37,1.13,1
633,6.51,3.39,2.95,1.4,1
634,5.64,0.01,0.37,0.75,0
635,5.59,0.32,0.08,0.64,0
636,2.54,0.22,0.04,0.39,0
637,5.88,0.33,1.31,1.17,0
638,3.97,0.38,0.13,0.39,0
639,5.09,0.2,0.87,0.94,0
640,7.76,1.1,0.1,1.11,1
641,7.15,4.96,0.79,0.46,1
642,3.67,1.66,0.63,0.66,0
643,5.84,0.32,1.47,0.64,1
644,3.63,1.12,1.51,0.1,0
645,6.96,1.01,1.17,1.29,1
646,3.63,0.46,1.32,0.44,0
647,8.49,0.43,2.64,1.35,1
648,4.95,3.29,0.48,0.1,0
649,9.81,1.71,3.09,2.22,1
650,1.81,1.03,0.17,0.72,0
651,4.82,0.86,0.19,0.49,0
652,6.76,2.81,3.75,1.04,1
653,8.44,2.83,0.27,1.16,1
654,6.8,0.39,0.8,1.31,1
655,6.82,1.25,0.45,1.0,0
656,6.59,1.03,3.1,1.24,1
657,1.83,0.09,0.08,0.14,0
658,4.69,2.27,1.99,0.51,1
659,4.79,1.33,1.0,1.0,0
660,8.34,1.38,0.04,1.2,1
661,6.28,0.35,3.51,0.19,1
662,4.7,0.07,0.09,0.81,0
663,5.43,0.08,0.06,1.03,0
664,6.5,1.51,0.32,0.72,1
665,5.1,3.35,0.48,1.37,0
666,7.51,0.3,3.95,0.78,1
667,6.2,3.68,1.13,1.55,1
668,7.01,0.72,1.14,1.23,1
669,7.74,0.84,6.49,1.08,1
670,4.07,3.88,0.04,0.32,0
671,7.75,5.28,2.39,1.85,1
672,5.78,0.99,0.52,0.65,0
673,7.28,0.41,0.04,1.12,1
674,3.81,2.04,1.65,0.79,0
675,5.63,0.93,2.8,0.29,0
676,7.73,1.54,4.78,1.33,0
677,4.1,0.19,1.46,1.41,0
678,5.46,2.75,1.02,1.16,0
679,4.94,0.36,1.76,0.42,0
680,6.46,0.94,0.92,1.75,1
681,3.26,0.48,0.06,1.38,0
682,5.45,1.36,2.63,1.2,0
683,6.53,0.44,3.85,1.59,1
684,6.93,0.3,0.42,1.34,1
685,9.03,0.1,0.19,1.7,1
686,2.51,0.43,1.93,0.71,0
687,2.18,0.1,0.01,0.1,0
688,2.96,1.36,0.46,0.45,0
689,8.17,3.51,3.2,1.14,1
690,8.31,2.16,0.57,1.14,0
691,2.96,1.94,0.55,0.1,0
692,6.97,1.45,1.23,1.33,1
693,6.38,3.28,0.11,1.24,1
694,3.71,0.07,2.37,0.53,0
695,5.31,1.96,0.26,0.96,0
